age_lut_id,age_code,age_txt,fw_annuli_txt,maiden_sw_annuli_txt,total_sw_annuli,sy_total_age,prior_spawning_count,date_added,verified
170,'W1.1S1                                                                                                                                                                                                                                                         ,W11S1,1,1,2,5,1,2019-06-11 00:00:00+00,TRUE
171,'1.S                                                                                                                                                                                                                                                            ,1S,1,0,0,3,1,2019-06-11 00:00:00+00,TRUE
172,'R.S2                                                                                                                                                                                                                                                           ,RS2,NULL,0,2,NULL,1,2019-06-11 00:00:00+00,TRUE
173,'3.2S1                                                                                                                                                                                                                                                          ,32S1,3,2,3,8,1,2019-06-11 00:00:00+00,TRUE
174,'H4                                                                                                                                                                                                                                                             ,H4,4,NULL,NULL,NULL,NULL,2019-06-13 00:00:00+00,TRUE
175,'1.+F+                                                                                                                                                                                                                                                          ,1+F+,1,1,1,3,0,2019-06-25 00:00:00+00,TRUE
176,'5.+,5+,5,0,0,6,0,2021-03-08 08:33:00+00,NULL
177,'H2,H2,2,0,0,3,0,2021-08-17 00:00:00+00,NULL
178,'2.1+S+S+S+,,2,0,1,7,3,2021-08-17 00:00:00+00,NULL
179,2.2+S+S+S+,,2,2,2,8,3,,JAN
180,2.2+S+S+,,2,2,2,7,2,,JAN
181,1.2+S+S+,,1,2,2,6,2,,JAN
182,2.1+S+S+S+,,2,1,1,7,3,,JAN
183,2.1+S+1+,,2,1,2,6,1,,JAN
184,2.2+S+1+1+,,2,2,4,8,1,,JAN
185,4.+S+,,4,NULL,NULL,NULL,1,,JAN
186,2.1+S+S+S+S+,,2,1,1,8,4,,JAN
187,3.1+S+S+S+,,3,1,1,8,3,,JAN
188,4.2+S+,,4,2,2,8,1,,JAN
189,4.1+S+,,4,1,1,7,1,,JAN
190,2.3+S+,,2,3,3,7,1,,JAN
191,3.1+S+1+S,,3,1,2,8,2,,JAN
192,3.2+S+S+,,3,2,2,8,2,,JAN
193,4.3+,,4,3,3,8,0,,JAN
194,2.1+S+1+S,,2,1,2,7,2,,JAN
195,2.1+S+1+,,2,1,2,6,1,,JAN
196,4.+S+,,4,NULL,NULL,NULL,1,,JAN
